file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00155_0177_687521_to_694296,གྲོང་བརྡལ་མང་པོ་ཀུན་ཏུ་དཀྲིགས་པ། ཕ་མཐའ་མི་མངོན་པའི་རྒྱ་མཚོས་ཡོངས་སུ་བསྐོར་བའི་ཡུལ་ལྗོངས་ཀྱི་བཀོད་པ་རྒྱ་ཆེ་དེ་ཚོ་ནི།  ,grong brdal mang po kun tu dkrigs pa/_pha mtha' mi mngon pa'i rgya mtshos yongs su bskor ba'i yul ljongs kyi bkod pa rgya che de tsho ni/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0177_687521_to_694296.wav,STT_AB,2,117,6.775,wav16k/STT_AB00155_0177_687521_to_694296.wav,གྲོང་བརྡལ་མང་པོ་ཀུན་ཏུ་དཀྲིས་པ། ཕ་མཐའ་མི་མངོན་པའི་རྒྱ་མཚོས་ཡོངས་སུ་བསྐོ་བའི་ཡུལ་ལྗོངས་ཀྱི་བཀོད་པ་རྒྱ་ཆེ་དེ་ཚོ་ནི།
STT_AB00155_0178_694532_to_696000,བོད་མི་ཉུང་ཤས་ཀྱིས་མ་གཏོགས་ ,bod mi nyung shas kyis ma gtogs _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0178_694532_to_696000.wav,STT_AB,2,28,1.468,wav16k/STT_AB00155_0178_694532_to_696000.wav,བོད་མི་ཉུང་ཤས་ཀྱིས་མ་གཏོགས་
STT_AB00172_1170_4085844_to_4088267,འདི་དག་ཇི་ལྟར་བདེ་བ་དང་ཕྲད་པ་དང་།  ,'di dag ji ltar bde ba dang phrad pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_1170_4085844_to_4088267.wav,STT_AB,2,35,2.423,wav16k/STT_AB00172_1170_4085844_to_4088267.wav,འདི་དག་ཇི་ལྟར་བདེ་བ་དང་ཕྲད་པ་དང་།
STT_AB00172_1138_3944394_to_3954104,བྱང་ཆུབ་ཀྱི་སེམས་གདམས་ངག་གི་མཐིལ་དུ་བཟུང་ནས་མི་སྦྱོང་བར་གཞན་ཞིག་ནས་འཚོལ་ཞིང་འབད་པས་ས་མང་པོ་ཞིག་བཅད་པར་འདོད་པ་ཁོ་ན་སྣང་བ་ལ།  ,byang chub kyi sems gdams ngag gi mthil du bzung nas mi sbyong bar gzhan zhig nas 'tshol zhing 'bad pas sa mang po zhig bcad par 'dod pa kho na snang ba la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_1138_3944394_to_3954104.wav,STT_AB,2,124,9.71,wav16k/STT_AB00172_1138_3944394_to_3954104.wav,བྱང་ཆུབ་ཀྱི་སེམས་གདམས་ངག་གི་མཐིལ་དུ་བཟུང་ནས་མི་སྦྱོང་བར་ གཞན་ཞིག་ནས་འཚོལ་ཞིང་འབད་པས་ས་མང་པོ་ཞིག་དཔྱད་པར་འདོད་པ་ཁོ་ནར་སྣང་བ་ལ་
STT_AB00172_1139_3955145_to_3959189,ཐེག་པ་ཆེན་པོའི་གནད་ཤེས་པས་བལྟས་ན་བཞད་གད་ཀྱི་གནས་སུ་སྣང་སྟེ།  ,theg pa chen po'i gnad shes pas bltas na bzhad gad kyi gnas su snang ste/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_1139_3955145_to_3959189.wav,STT_AB,2,61,4.044,wav16k/STT_AB00172_1139_3955145_to_3959189.wav,ཐེག་པ་ཆེན་པོའི་གནད་ཤེས་པས་བལྟས་ན་བཞད་གད་ཀྱི་གནས་སུ་སྣང་སྟེ།
STT_AB00172_1140_3959957_to_3965674,རྒྱལ་སྲས་དམ་པ་རྣམས་ཀྱིས་བསྐལ་པ་དུ་མར་ཐུགས་དམ་གྱི་མཐིལ་དུ་བཟུང་ནས་སྦྱོང་བར།  ,rgyal sras dam pa rnams kyis bskal pa du mar thugs dam gyi mthil du bzung nas sbyong bar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_1140_3959957_to_3965674.wav,STT_AB,2,76,5.717,wav16k/STT_AB00172_1140_3959957_to_3965674.wav,རྒྱལ་སྲས་དམ་པ་རྣམས་ཀྱིས་བསྐལ་པ་དུ་མར་ཐུགས་དམ་གྱི་མཐིལ་དུ་བཟུང་ནས་སྦྱོང་བར་
STT_AB00172_1145_3975588_to_3977807,བསྒོམ་དུ་མི་རུང་ཟེར་བ་མིན་གྱི།  ,bsgom du mi rung zer ba min gyi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_1145_3975588_to_3977807.wav,STT_AB,2,32,2.219,wav16k/STT_AB00172_1145_3975588_to_3977807.wav,བསྒོམ་དུ་མི་རུང་ཟེར་བ་མིན་གྱི།
STT_AB00172_1148_3990503_to_3993592,ཐེག་པ་ཆེན་པོའི་བསླབ་པར་བྱ་བ་རྣམས་ཤེས་ཤིང་།  ,theg pa chen po'i bslab par bya ba rnams shes shing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_1148_3990503_to_3993592.wav,STT_AB,2,44,3.089,wav16k/STT_AB00172_1148_3990503_to_3993592.wav,ཐེག་པ་ཆེན་པོས་བསླབ་པར་བྱ་བ་རྣམས་ཤེས་ཤིང་
STT_AB00155_0183_707526_to_717297,དེའི་བགྲོད་ལམ་ནི་ནགས་ཚལ་སྟུག་པོའི་ཁྲོད་ནས་གྱེན་འཛེགས་ཀྱིས་འགྲོ་དགོས། རི་བརྒྱུད་དེ་དག་འཛེགས་ཏེ་ཐུར་བགྲོད་མ་བྱས་གོང་བོད་ཀྱི་རི་སྟོངས་ནང་དུ་འབྱོར་གྱི་ཡོད།  ,de'i bgrod lam ni nags tshal stug po'i khrod nas gyen 'dzegs kyis 'gro dgos/_ri brgyud de dag 'dzegs te thur bgrod ma byas gong bod kyi ri stongs nang du 'byor gyi yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00155_0183_707526_to_717297.wav,STT_AB,2,153,9.771,wav16k/STT_AB00155_0183_707526_to_717297.wav,དེའི་བགྲོད་ལམ་ནི་ནགས་ཚལ་སྟུག་པོའི་ཁྲོད་ནས་གྱེན་རྫེགས་ཀྱིས་འགྲོ་དགོས། རི་བརྒྱུད་དེ་དག་འཛེགས་ཏེ་ཐུག་སགྲོད་མ་བྱས་གོང་བོད་ཀྱི་རི་སྟོང་ནང་དུ་འབྱོར་གྱི་ཡོད།
STT_AB00172_1150_3998267_to_4004155,སྡོམ་པ་ཆོ་གས་བཟུང་ནས་དེ་ནས་བྱང་ཆུབ་ཀྱི་སེམས་སྦྱོང་བའང་ཡོད་དེ། སྤྱོད་འཇུག་ཏུ།  ,sdom pa cho gas bzung nas de nas byang chub kyi sems sbyong ba'ang yod de/_spyod 'jug tu/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00172_1150_3998267_to_4004155.wav,STT_AB,2,78,5.888,wav16k/STT_AB00172_1150_3998267_to_4004155.wav,སྡོམ་པ་ཆོ་གས་བཟུང་ནས་དེ་ནས་བྱང་ཆུབ་ཀྱི་སེམས་སྦྱོང་བ་ཡང་ཡོད་དེ། སྤྱོད་འཇུག་ཏུ་
